"","Culm_diameter","Culm_length","Culm_number","Grain_length","Grain_width","Grain_weight","Heading_date","Ligule_length","Leaf_length","Leaf_width","Panicle_length","Seedling_height"
"IRIS_313.11265",4,112,11,7.2,3.4,2.1,83,19,57,1.4,22,40
"IRIS_313.11299",5,145,13,9.7,3.1,2.3,114,34,74,1.4,30,49
"IRIS_313.11266",5,150,14,7.4,3.3,2.4,109,26,61,1.5,26,57
"IRIS_313.11267",5,152,29,8.4,2.1,1.4,104,21,51,1.4,26,42
"IRIS_313.11268",5,147,19,8.2,3.3,2.1,114,29,52,1,32,45
"IRIS_313.11269",5,141,16,8.3,3.8,2.7,110,24,65,1.5,25,53
"IRIS_313.8900",4,132,17,9.5,2.7,2.4,109,20,65,1,25,53
"IRIS_313.11270",5,132,13,8,3.2,2,114,20,60,1.3,31,45
"IRIS_313.11300",6,169,13,9.5,3.3,2.5,111,30,76,2.1,20,59
"IRIS_313.11271",5,143,16,8.3,3.1,2.3,124,26,56,1.4,24,46
"IRIS_313.11272",4,94,18,8,3.1,1.8,86,18,64,1,21,48
"IRIS_313.11273",5,101,15,8.8,3.1,2.6,109,21,62,1.1,26,47
"IRIS_313.11301",4,146,14,8.1,2.6,1.8,108,23,65,1,29,52
"IRIS_313.11274",5,96,15,7.5,2.7,1.8,83,19,54,1.1,24,45
"IRIS_313.11275",4,108,23,8.3,3.1,2.3,83,10,52,1,24,54
"IRIS_313.11276",4,104,19,8.6,2.5,2,86,14,56,1.1,26,55
"IRIS_313.9593",4,53,14,9.3,2.9,2,106,10,48,1,27,52
"IRIS_313.8332",4,126,20,9.9,2.8,2.1,104,15,66,1.2,27,36
"IRIS_313.11303",6,139,17,8.3,2.9,2.2,117,32,57,1.3,29,68
"IRIS_313.11277",4,130,14,8.5,3,2.8,100,19,48,1.2,18,59
"IRIS_313.11304",5,133,14,9.6,2.6,2.2,90,17,61,1.5,24,34
"IRIS_313.11278",5,149,15,9.1,2.9,2,94,20,50,1.1,26,53
"IRIS_313.11305",5,153,17,9.4,3,2.4,102,22,74,1.6,28,54
"IRIS_313.11306",5,135,17,8.8,2.8,2.1,90,15,61,1.2,16,51
"IRIS_313.11307",5,153,16,8.7,2.7,2.1,106,27,70,1.3,24,55
"IRIS_313.11308",5,143,16,8,3.1,2.3,92,18,60,1.4,25,50
"IRIS_313.11279",4,141,17,9.2,3.2,2.6,96,16,53,1.2,27,54
"IRIS_313.11280",5,124,24,11,2.9,3,108,16,49,1.2,28,42
"IRIS_313.11281",5,119,15,8.8,2.8,2.1,78,14,50,1,32,56
"IRIS_313.11282",5,153,11,8.2,2.8,2,112,23,71,1.6,29,51
"IRIS_313.11283",5,179,13,8.1,3.1,2.2,106,26,67,1.6,23,55
"IRIS_313.9619",5,155,16,9.1,2.4,1.9,132,21,75,1.5,26,40
"IRIS_313.11309",5,161,15,9.5,3.1,2.2,92,20,50,1.5,28,54
